"Department","Department_Name","Division","Gender","Base Salary","Overtime Pay","Longevity Pay","Grade"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Community Technology","F","$148,507.15",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Community Technology","M","$113,091",,,"25"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Community Technology","M","$93,747.28",,,"21"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Community Technology","M","$93,895","$101.57",,"21"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Community Engagement (Cable)","M","$118,509",,,"26"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Community Engagement (Cable)","M","$103,034",,,"23"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Community Engagement (Cable)","F","$103,034",,,"23"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Community Engagement (Cable)","M","$118,509",,,"26"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIOs Office","F","$81,770","$6,622.32",,"N18"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIOs Office","M","$81,684",,,"N23"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Vendor and Contract Management","F","$103,034",,,"23"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Vendor and Contract Management","M","$148,249.82",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Vendor and Contract Management","F","$113,091",,"3,205.12","25"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Vendor and Contract Management","F","$113,091",,"3,370.56","25"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO System Center Configuration Management","M","$148,604",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO System Center Configuration Management","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO System Center Configuration Management","M","$107,254",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO System Center Configuration Management","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO System Center Configuration Management","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Strategy and Planning","F","$97,984.54",,,"N25"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Strategy and Planning","F","$171,457.98",,,"M2"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Project Management Staff","F","$130,167",,"1,302.08","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Project Management Staff","M","$125,942.94",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Project Management Staff","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Project Management","F","$165,000",,,"M2"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO One Face Forward Initiative","M","$154,469",,,"N32"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO One Face Forward Initiative","M","$171,522.33",,,"M2"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Integrated Justice Information Systems","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Integrated Justice Information Systems","F","$186,490",,,"N40"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Infrastructure and Cloud Services","F","$130,167",,"2,588.8","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Infrastructure and Cloud Services","M","$163,551",,,"N34"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Infrastructure and Cloud Services","M","$143,183.37",,,"N32"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Finance and Human Resources","F","$136,615.43",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Finance and Human Resources","F","$80,086",,"1,594.6","18"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Finance and Human Resources","F","$87,071.74","$1,109.44","4,148.16","N21"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Finance and Human Resources","F","$113,091",,"2,247.68","N25"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Finance and Human Resources","F","$74,614",,"2,216.16","16"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Enterprise Information Security Office","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Enterprise Information Security Office","M","$148,591.51",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Enterprise Information Security Office","M","$154,469",,,"N32"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Enterprise Information Security Office","F","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Enterprise Information Security Office","M","$154,469",,,"N32"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Enterprise Information Security Office","M","$109,000",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Enterprise Information Security Office","M","$89,060.57",,,"23"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Device Client Management","F","$147,924.2",,,"M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Device Client Management","M","$130,167",,,"N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Device Client Management","F","$130,167",,"2,368.45","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Device Client Management","M","$103,034",,"6,228.32","23"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Data Classification and Digital Evidence","M","$191,707.69",,,"M1"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Chief Information Officer","F","$227,000",,,"EX1"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Change Management","F","$171,540",,,"M2"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Change Management","F","$142,665",,,"M3"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$65,234","$2,966.15",,"G3"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$65,234","$962.43",,"G3"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$69,683","$2,110.5",,"G4"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$63,082","$3,653.9",,"G3"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$63,082","$1,928.22",,"G3"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$57,125","$3,160.41",,"G2"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$63,082","$1,767.04",,"G3"
"SHF","Sheriff's Office","SHF 48 Warrant Section","F","$53,439","$3,169.74",,"G2"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$116,075","$44.41","1,087.12","D2"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$107,198","$18,027.6","3,725.44","D1"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$107,198","$7,189.91",,"D1"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$117,759","$903.63","5,150.12","D2"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$82,446","$2,116.62",,"G4"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$77,075","$1,534.02",,"G4"
"SHF","Sheriff's Office","SHF 48 Warrant Section","F","$48,372.85",,,"13"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$107,198","$738.14","4,294.85","D1"
"SHF","Sheriff's Office","SHF 48 Warrant Section","F","$65,109",,"3,919.52","13"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$103,630","$989.67",,"D1"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$63,082","$4,033.68",,"G3"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$65,234","$1,689.5",,"G3"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$30,585",,,"16"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$103,630","$10,101.09",,"D1"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$74,614","$3,966.96",,"16"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$69,683","$1,624.99",,"G4"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$69,683","$3,961.46",,"G4"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$65,234","$4,389.87",,"G3"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$60,719.07",,,"20"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$61,008","$979.62",,"G4"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$29,560.46","$192.61",,"16"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$61,008","$4,381.79",,"G3"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$55,252","$2,182.15",,"G2"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$62,844.23",,,"20"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$57,125","$3,253.39",,"G2"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$57,125","$3,253.39",,"G4"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$63,082","$4,067.04",,"G3"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$63,082","$1,520.42",,"G3"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$46,105","$186.2",,"16"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$27,668.16","$133.02",,"16"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$54,930",,,"20"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$107,198","$2,840.81",,"D1"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$89,653","$1,021.64","2,667.52","20"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$74,614","$6,412.2","2,137.06","16"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$76,853.15","$739.16",,"20"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$74,527","$6,026.81",,"G4"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$120,054.89",,,"M3"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$82,446","$1,241.56",,"G4"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$58,259.7","$4,635.71",,"16"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$69,429.54",,,"20"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$79,533.27","$916.66",,"N23"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$60,719.07",,,"20"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$74,527","$1,493.61",,"G4"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$74,527","$5,024.95",,"G4"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$72,062","$1,117.17",,"G4"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$72,062","$2,737.75",,"G4"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$69,683","$4,576.66",,"G4"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$141,871",,"8,589.14","D3"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$91,232","$9,263.56",,"G4"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$68,852.82","$6,953.21",,"16"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$107,198","$5,060.01","1,443.2","D1"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$107,198",,,"D1"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$117,759","$909.65",,"D2"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$74,614","$4,195.59","2,216.16","16"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$117,759","$1,830.75","7,121.44","D2"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$72,062","$579.89",,"G4"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$64,982.76",,,"20"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","M","$72,062","$2,798.39",,"G4"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$75,423.35","$1,156.58",,"23"
"SHF","Sheriff's Office","SHF 48 Sheriff Domestic Violence","F","$54,443.15","$223.73",,"16"
"SHF","Sheriff's Office","SHF 48 Evictions","M","$63,082","$21.43",,"G3"
"SHF","Sheriff's Office","SHF 48 Evictions","M","$97,606","$33.04",,"G4"
"SHF","Sheriff's Office","SHF 48 Evictions","M","$97,606","$298.71","5,894.5","G4"
"SHF","Sheriff's Office","SHF 48 Evictions","F","$65,109",,"3,919.52","13"
"SHF","Sheriff's Office","SHF 48 Evictions","M","$107,198","$6,488.93",,"D1"
"SHF","Sheriff's Office","SHF 48 Courthouse Security","M","$69,683","$967.09",,"G4"
"SHF","Sheriff's Office","SHF 48 Courthouse Security","M","$97,606","$19,118.19",,"G4"
"SHF","Sheriff's Office","SHF 48 Courthouse Security","M","$63,082","$5,525.26",,"G3"
"SHF","Sheriff's Office","SHF 48 Courthouse Security","M","$82,446","$15,062.88",,"G4"
"SHF","Sheriff's Office","SHF 48 Courthouse Security","M","$77,075","$14,914.65",,"G4"
"SHF","Sheriff's Office","SHF 48 Courthouse Security","M","$117,759","$912.96",,"D2"
"SHF","Sheriff's Office","SHF 48 Courthouse Security","M","$107,198","$22,116.96",,"D1"
"SHF","Sheriff's Office","SHF 48 Courthouse Security","F","$91,232","$12,055.3",,"G4"
"SHF","Sheriff's Office","SHF 48 Courthouse Security","M","$97,606","$3,222.84",,"G4"
"SHF","Sheriff's Office","SHF 48 Courthouse Security","F","$107,198","$15,576.22",,"D1"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$65,234","$2,260.98",,"G3"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$87,518","$526.03",,"D1"
"SHF","Sheriff's Office","SHF 48 Court and Transport","F","$65,234","$364.34",,"G3"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$97,606","$2,116.27","2,664.52","G4"
"SHF","Sheriff's Office","SHF 48 Court and Transport","F","$91,232",,,"G4"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$107,198","$853.37",,"D1"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$65,234","$5,900.54",,"G3"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$53,439","$242.41",,"G4"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$53,439","$1,500.18",,"G2"
"SHF","Sheriff's Office","SHF 48 Court and Transport","F","$55,252","$5,938.56",,"G4"
"SHF","Sheriff's Office","SHF 48 Court and Transport","F","$55,252","$7,725.94",,"G2"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$53,439","$440.14",,"G2"
"SHF","Sheriff's Office","SHF 48 Court and Transport","F","$53,439","$947.38",,"G2"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$53,439","$845.57",,"G2"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$53,439","$1,403.25",,"G2"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$117,759","$87.9","1,902.72","D2"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$97,606",,"3,390.56","G4"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$107,198","$1,210.81",,"D1"
"SHF","Sheriff's Office","SHF 48 Court and Transport","F","$134,068.63",,"4,271.04","D3"
